"Transaction Date","Posted Date","Description","Debit","Credit"
"10/30/2022","10/31/2022","GIANT","4.49",""
"10/29/2022","10/31/2022","TEA PLACE","10.07",""
"10/29/2022","10/31/2022","YOGIBERRY","10.46",""
"10/29/2022","10/31/2022","DUNKIN DONUTS","19.08",""
"10/31/2022","10/31/2022","AIRBNB","56.97",""
"10/29/2022","10/31/2022","EXXONMOBIL","49.37",""
"10/30/2022","10/31/2022","AMZN Mktp","7.65",""
"10/30/2022","10/31/2022","Amazoncom","12.80",""
"10/30/2022","10/31/2022","Amazoncom","7.87",""
"10/27/2022","10/31/2022","PPINSTACART","56.20",""
"10/25/2022","10/26/2022","USPS PO","9.90",""
"10/25/2022","10/26/2022","THE UPS STORE","10.00",""
"10/25/2022","10/26/2022","DONATIONS","100.00",""
"10/23/2022","10/24/2022","GIANT FOOD INC","9.19",""
"10/23/2022","10/24/2022","STARBUCKS","10.92",""
"10/23/2022","10/24/2022","Amazon Prime","15.89",""
"10/21/2022","10/24/2022","SAFEWAY","6.80",""
"10/23/2022","10/24/2022","MicrosoftSubscription","1.99",""
"10/21/2022","10/24/2022","WALGREENS","18.01",""
"10/22/2022","10/24/2022","DOORDASH","54.55",""
"10/20/2022","10/20/2022","APPLECOMBILL","7.41",""
"10/17/2022","10/19/2022","EXXONMOBIL","53.32",""
"10/17/2022","10/19/2022","SAFEWAY","89.07",""
"10/14/2022","10/17/2022","COLPARK LOC","1.00",""
"10/16/2022","10/17/2022","AMZN Mktp","30.87",""
"10/14/2022","10/17/2022","SQ BAKEHOUSE","6.09",""
"10/14/2022","10/17/2022","POPEYES","33.39",""
"10/12/2022","10/13/2022","WEGMANS","28.35",""
"10/12/2022","10/13/2022","AMZN Mktp","30.00",""
"10/11/2022","10/12/2022","WALGREENS","50.00",""
"10/7/2022","10/10/2022","EXXONMOBIL","52.42",""
"10/5/2022","10/10/2022","PAYPAL","293.05",""
"10/9/2022","10/10/2022","AMZN Mktp","19.64",""
"10/6/2022","10/6/2022","Audible","15.85",""
"10/2/2022","10/3/2022","CAVA","23.95",""
"10/1/2022","10/3/2022","DESSERTS AND DRINK","42.40",""
"10/1/2022","10/3/2022","BBQ CHICKEN","34.45",""
"9/30/2022","10/3/2022","BAKERY CAFE","6.15",""
